ID,State,Institution,Series,first_enrollment,degree_enrollment,number_recipients,RAW_avg_aid,avg_aid,aid_concentration,RAW_total_aid,total_aid,RAW_total_cost,total_cost,private,public,urban,rural,carnegie,udgr_enrollment,acceptance_rate,udgr_recipients,RAW_udgr_avg,udgr_avg,RAW_udgr_aid,udgr_aid,doctoral,masters,bachelor,city,suburban,town_rural
206048,OH,Tiffin University,2017-2018,15,295,102,13131,14146,0.35,1339445,1442951,37800,40721,1,0,0,1,1,2095,0.69,432,13458,14498,5813856,6263124.652,0,1,0,0,0,1
206048,OH,Tiffin University,2018-2019,15,225,58,21904,22986,0.26,1270447,1333194,40200,42185,1,0,0,1,1,1995,0.69,458,13910,14597,6370780,6685433.222,0,1,0,0,0,1
206048,OH,Tiffin University,2019-2020,24,179,74,21426,21841,0.41,1585503,1616205,42160,42976,1,0,0,1,1,1901,0.69,NA,NA,NA,NA,NA,0,1,0,0,0,1
200800,OH,"University of Akron, Main Campus",2012-2013,NA,NA,NA,NA,NA,NA,NA,NA,31461,37845,0,1,1,0,1,20724,0.97,1688,5336,6419,9007168,10835020.99,1,0,0,1,0,0
200800,OH,"University of Akron, Main Campus",2013-2014,NA,NA,NA,NA,NA,NA,NA,NA,32320,38278,0,1,1,0,1,19022,0.97,1670,5127,6072,8562090,10140527.68,1,0,0,1,0,0
200800,OH,"University of Akron, Main Campus",2014-2015,NA,NA,NA,NA,NA,NA,NA,NA,33376,38382,0,1,1,0,1,18148,0.96,2210,5210,5991,11514100,13241027.29,1,0,0,1,0,0
200800,OH,"University of Akron, Main Campus",2015-2016,NA,NA,NA,NA,NA,NA,NA,NA,33882,38192,0,1,1,0,1,17240,0.97,2363,5860,6605,13847180,15608502.35,1,0,0,1,0,0
200800,OH,"University of Akron, Main Campus",2016-2017,44,363,69,16572,18398,0.19,1143473,1269446,35141,39012,0,1,1,0,1,15630,0.96,1905,6774,7520,12904470,14326114.48,1,0,0,1,0,0
200800,OH,"University of Akron, Main Campus",2017-2018,29,331,73,16307,17567,0.22,1190382,1282369,34617,37292,0,1,1,0,1,15047,0.93,2267,6280,6765,14236760,15336912.8,1,0,0,1,0,0
200800,OH,"University of Akron, Main Campus",2018-2019,35,299,76,14857,15591,0.25,1129156,1184925,31316,32863,0,1,1,0,1,13676,0.69,2077,5348,5612,11107796,11656410.74,1,0,0,1,0,0
200800,OH,"University of Akron, Main Campus",2019-2020,36,269,91,14335,14613,0.34,1303827,1329075,33581,34231,0,1,1,0,1,12744,0.73,NA,NA,NA,NA,NA,1,0,0,1,0,0
201885,OH,"University of Cincinnati, Main Campus",2012-2013,NA,NA,NA,NA,NA,NA,NA,NA,42238,50809,0,1,1,0,1,22698,0.68,2168,5943,7149,12884424,15499100.77,1,0,0,1,0,0
201885,OH,"University of Cincinnati, Main Campus",2013-2014,NA,NA,NA,NA,NA,NA,NA,NA,42466,50295,0,1,1,0,1,23360,0.73,2376,5169,6122,12281544,14545670.14,1,0,0,1,0,0
201885,OH,"University of Cincinnati, Main Campus",2014-2015,NA,NA,NA,NA,NA,NA,NA,NA,43008,49458,0,1,1,0,1,23795,0.76,2483,5596,6435,13894868,15978871.68,1,0,0,1,0,0
201885,OH,"University of Cincinnati, Main Campus",2015-2016,NA,NA,NA,NA,NA,NA,NA,NA,43122,48607,0,1,1,0,1,24066,0.76,2532,5640,6357,14280480,16096916.89,1,0,0,1,0,0
201885,OH,"University of Cincinnati, Main Campus",2016-2017,149,1089,375,9235,10252,0.34,3463014,3844523,43300,48070,0,1,1,0,1,24846,0.76,2705,5474,6077,14807170,16438428.89,1,0,0,1,0,0
201885,OH,"University of Cincinnati, Main Campus",2017-2018,167,1141,276,4848,5223,0.24,1338014,1441410,43490,46851,0,1,1,0,1,25523,0.77,2875,5757,6202,16551375,17830390.84,1,0,0,1,0,0
201885,OH,"University of Cincinnati, Main Campus",2018-2019,166,1162,438,9445,9911,0.38,4136935,4341258,43588,45741,0,1,1,0,1,25973,0.73,2988,5340,5604,15955920,16743983.89,1,0,0,1,0,0
201885,OH,"University of Cincinnati, Main Campus",2019-2020,173,1161,645,10339,10539,0.56,6668888,6798025,43298,44136,0,1,1,0,1,26610,0.77,NA,NA,NA,NA,NA,1,0,0,1,0,0
202480,OH,University of Dayton,2012-2013,NA,NA,NA,NA,NA,NA,NA,NA,46250,55636,1,0,1,0,1,7793,0.55,1983,15110,18176,29963130,36043642.4,1,0,0,1,0,0
202480,OH,University of Dayton,2013-2014,NA,NA,NA,NA,NA,NA,NA,NA,49540,58673,1,0,1,0,1,7812,0.53,1700,15839,18759,26926300,31890214.94,1,0,0,1,0,0
202480,OH,University of Dayton,2014-2015,NA,NA,NA,NA,NA,NA,NA,NA,51320,59017,1,0,1,0,1,8305,0.59,2023,19301,22196,39045923,44902174.9,1,0,0,1,0,0
